year,ID,set,singleton.length.cm,green.shoot.length.cm,green.leaves,segments,seg.length.mm,seg.length.2.mm,seg.length.3.mm,woody.shoot.length.cm,woody.shoot.leaves,weight.g,total.weight.g,total.singletons,total.complex.green.shoots,total.woody.shoots,total.dry.weight.g
2017,444,19,96,,,,,,,,,,38,77,29,13,1009
2017,615,20,76,,,,,,,,,,20,125,181,5,736
2017,615,20,78,,,,,,,,,,20,125,181,5,736
2017,615,20,63,,,,,,,,,,20,125,181,5,736
2017,615,20,64,,,,,,,,,,20,125,181,5,736
2017,615,20,65,,,,,,,,,,20,125,181,5,736
2017,615,20,67,,,,,,,,,,20,125,181,5,736
2017,615,20,62,,,,,,,,,,20,125,181,5,736
2017,615,20,63,,,,,,,,,,20,125,181,5,736
2017,615,20,68,,,,,,,,,,20,125,181,5,736
2017,615,20,66,,,,,,,,,,20,125,181,5,736
2017,618,21,68,,,,,,,,,,19,253,114,5,525
2017,618,21,64,,,,,,,,,,19,253,114,5,525
2017,618,21,60,,,,,,,,,,19,253,114,5,525
2017,618,21,70,,,,,,,,,,19,253,114,5,525
2017,618,21,57,,,,,,,,,,19,253,114,5,525
2017,618,21,59,,,,,,,,,,19,253,114,5,525
2017,618,21,55,,,,,,,,,,19,253,114,5,525
2017,618,21,62,,,,,,,,,,19,253,114,5,525
2017,618,21,67,,,,,,,,,,19,253,114,5,525
2017,618,21,56,,,,,,,,,,19,253,114,5,525
2017,614,22,36,,,,,,,,,,9,124,205,8,506
2017,614,22,38,,,,,,,,,,9,124,205,8,506
2017,614,22,38,,,,,,,,,,9,124,205,8,506
2017,614,22,35,,,,,,,,,,9,124,205,8,506
2017,614,22,36,,,,,,,,,,9,124,205,8,506
2017,614,22,43,,,,,,,,,,9,124,205,8,506
2017,614,22,40,,,,,,,,,,9,124,205,8,506
2017,614,22,39,,,,,,,,,,9,124,205,8,506
2017,614,22,36,,,,,,,,,,9,124,205,8,506
2017,614,22,42,,,,,,,,,,9,124,205,8,506
2017,183,24,47,,,,,,,,,,13,467,37,46,604
2017,183,24,48,,,,,,,,,,13,467,37,46,604
2017,183,24,49,,,,,,,,,,13,467,37,46,604
2017,183,24,45,,,,,,,,,,13,467,37,46,604
2017,183,24,41,,,,,,,,,,13,467,37,46,604
2017,183,24,46,,,,,,,,,,13,467,37,46,604
2017,183,24,41,,,,,,,,,,13,467,37,46,604
2017,183,24,48,,,,,,,,,,13,467,37,46,604
2017,183,24,46,,,,,,,,,,13,467,37,46,604
2017,183,24,48,,,,,,,,,,13,467,37,46,604
2017,245,25,59,,,,,,,,,,14,89,201,44,1344
2017,245,25,42,,,,,,,,,,14,89,201,44,1344
2017,245,25,46,,,,,,,,,,14,89,201,44,1344
2017,245,25,43,,,,,,,,,,14,89,201,44,1344
2017,245,25,40,,,,,,,,,,14,89,201,44,1344
2017,245,25,46,,,,,,,,,,14,89,201,44,1344
2017,245,25,51,,,,,,,,,,14,89,201,44,1344
2017,245,25,47,,,,,,,,,,14,89,201,44,1344
2017,245,25,43,,,,,,,,,,14,89,201,44,1344
2017,245,25,43,,,,,,,,,,14,89,201,44,1344
2017,137,26,56,,,,,,,,,,15,22,49,16,532
2017,137,26,54,,,,,,,,,,15,22,49,16,532
2017,137,26,42,,,,,,,,,,15,22,49,16,532
2017,137,26,61,,,,,,,,,,15,22,49,16,532
2017,137,26,53,,,,,,,,,,15,22,49,16,532
2017,137,26,23,,,,,,,,,,15,22,49,16,532
2017,137,26,30,,,,,,,,,,15,22,49,16,532
2017,137,26,29,,,,,,,,,,15,22,49,16,532
2017,137,26,27,,,,,,,,,,15,22,49,16,532
2017,137,26,28,,,,,,,,,,15,22,49,16,532
